Type01,Type02,Type03,Type04,Type05,Type06,Type07,Type20
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
2,1,1,1,2,2,1,1
4,1,2,1,2,2,1,1
4,1,2,1,2,2,1,2
8,1,2,1,4,4,1,2
8,2,2,1,4,4,2,2
16,2,4,1,4,4,2,2
16,2,4,1,8,8,2,2
23,2,4,1,8,8,2,4
23,2,4,1,8,8,2,4
31,2,8,1,15,13,2,4
31,2,8,2,15,13,2,4
40,4,8,2,15,13,4,4
40,4,8,2,25,18,4,8
49,4,12,2,25,18,4,8
49,4,12,2,25,18,4,8
62,4,12,2,38,25,4,8
62,4,12,2,38,25,4,8
73,4,15,2,38,25,4,14
73,8,15,2,52,36,5,14
86,8,15,2,52,36,5,14
86,8,15,2,52,36,5,14
99,8,15,2,67,48,5,14
99,8,15,2,67,48,5,22
109,8,15,2,67,48,5,22
109,8,15,2,80,59,5,22
119,12,15,2,80,59,5,22
119,12,15,2,80,59,5,22
127,12,15,2,90,65,5,29
127,12,15,2,90,65,5,29
131,12,15,2,90,65,5,29
131,12,15,2,96,68,5,29
133,12,15,2,96,68,5,29
133,15,15,2,96,68,5,36
133,15,15,2,100,69,5,36
133,15,15,2,100,69,5,36
133,15,15,2,100,69,5,36
133,15,15,2,103,69,5,36
133,15,15,2,103,69,5,40
133,15,15,2,103,69,5,40
133,18,15,2,104,69,5,40
133,18,15,2,104,69,5,40
133,18,15,2,104,69,5,40
133,18,15,2,106,69,5,43
133,18,15,2,106,69,5,43
133,18,15,2,106,69,5,43
133,18,15,2,108,69,5,43
133,19,15,2,108,69,5,43
133,19,15,2,108,69,5,45
133,19,15,2,110,69,5,45
133,19,15,2,110,69,5,45
133,19,15,2,110,69,5,45
133,19,15,2,111,69,5,45
133,19,15,2,111,69,5,46
